function,documentation,tested
abundanceVector,1,1
arenaTest,1,0
calcMetrics,1,1
checkMetrics,1,0
checkNulls,1,0
checkSimulations,1,0
compareMins,1,0
competitionArena,1,0
defineMetrics,1,1
defineNulls,1,1
defineSimulations,1,1
errorChecker,1,1
evolveTraits,1,0
failed,1,0
filteringArena,1,0
killSome,1,0
killSomeBig,1,0
lengthNonZeros,1,0
linker,1,0
makeCDM,1,0
metricsNnulls,1,1
modifiedMPD,1,0
multiCDM,1,0
multiLinker,1,0
observedMetrics,1,1
prepData,1,0
prepNulls,1,0
prepSimulations,1,0
pscCorr,1,0
quadratContents,1,1
quadratOverall,1,0
quadratPlacer,1,1
quadratPlotter,1,0
quadratTest,1,0
randomArena,1,0
readIn,1,0
reduceRandomizations,1,1
reduceResults,1,0
regionalNull,1,0
runNulls,1,1
runSimulations,1,1
scaler,1,0
sesIndiv,1,0
sesOverall,1,0
sesSingle,1,0
settleSome,1,0
simulateComm,1,1
summaries,1,0
tWrap,1,0
tWrapApply,1,0
tWrapLApply,1,0
wilcoWrap,1,0
wilcoWrapApply,1,0
wilcoWrapLApply,1,0
